date,market,product,total_qty,total_amount,avg_price
2024-01-11,national,대파,840952.0,2051031856,2438.9
2024-01-11,national,딸기,312837.1,3563265760,11390.2
2024-01-11,national,마늘,98084.8,486258436,4957.5
2024-01-11,national,무,1405020.8,514767023,366.4
2024-01-11,national,배추,735776.7,418895228,569.3
2024-01-11,national,사과,1354519.2,6709983800,4953.8
2024-01-11,national,상추,173595.0,693633326,3995.7
2024-01-11,national,시금치,244351.7,750055411,3069.6
2024-01-11,national,양배추,694276.9,303984022,437.8
2024-01-11,national,양파,1630930.5,1693753050,1038.5
2024-01-11,national,오이,241484.0,849996658,3519.9
2024-01-11,national,토마토,124269.2,456954720,3677.1
2024-01-11,national,파프리카,92735.5,549297944,5923.3
2024-01-11,national,포도,140800.0,1031104480,7323.2
2024-01-12,daejeon,감귤,101872.5,329240700,3231.9
2024-01-12,daejeon,감자,32420.0,60604300,1869.3
2024-01-12,daejeon,깻잎,3349.0,35843920,10702.9
2024-01-12,daejeon,당근,32080.0,26065000,812.5
2024-01-12,daejeon,대파,57094.0,131750830,2307.6
2024-01-12,daejeon,딸기,20241.5,269453800,13311.9
2024-01-12,daejeon,마늘,20659.0,98460070,4766.0
2024-01-12,daejeon,무,124666.1,43745820,350.9
2024-01-12,daejeon,배추,50289.0,35076052,697.5
2024-01-12,daejeon,사과,36884.0,174511900,4731.4
2024-01-12,daejeon,상추,13350.0,57168623,4282.3
2024-01-12,daejeon,시금치,21274.5,78869159,3707.2
2024-01-12,daejeon,양배추,56898.0,27031191,475.1
2024-01-12,daejeon,양파,144808.0,134470710,928.6
2024-01-12,daejeon,오이,14016.0,58574385,4179.1
2024-01-12,daejeon,토마토,10698.0,37369100,3493.1
2024-01-12,daejeon,파프리카,4239.5,28187529,6648.8
2024-01-12,daejeon,포도,9874.5,92941000,9412.2
2024-01-12,garak,감귤,396140.2,1391485000,3512.6
2024-01-12,garak,감자,273830.0,435747000,1591.3
2024-01-12,garak,깻잎,29342.5,246702695,8407.7
2024-01-12,garak,당근,98420.0,72467500,736.3
2024-01-12,garak,대파,420780.0,913974500,2172.1
2024-01-12,garak,딸기,131629.8,1843584000,14005.8
2024-01-12,garak,마늘,7375.6,35689960,4838.9
2024-01-12,garak,무,506596.0,174131100,343.7
2024-01-12,garak,배추,245960.0,142962200,581.2
2024-01-12,garak,사과,103181.8,623350000,6041.3
2024-01-12,garak,상추,77892.0,277599600,3563.9
2024-01-12,garak,시금치,119351.7,394157470,3302.5
2024-01-12,garak,양배추,309748.0,139073900,449.0
